non-commonsense statement,sentence1,sentence2,sentence3,label
اكتشف الباحثون أن القوس قادر على التواصل مع الكائنات الفضائية وإرسال رسائل إلى الكواكب الأخرى.,القوس مصنوع من الرخام الأبيض الذي لا يسمح بنقل الإشارات بشكل فعّال.,لا يوجد أي دليل علمي يشير إلى أن الهياكل المعمارية القديمة مثل قوس تيتوس قادرة على التواصل مع الكائنات الفضائية.,تم بناء القوس من مواد متحجّرة لا يمكنها إرسال أو استقبال إشارات.,1
رمسيس الثاني كان يمتلك جهاز تلفزيون بلازما في قصره لمشاهدة المبارايات الرياضية وتحديثات الطقس بشكل مباشر.,رمسيس الثاني عاش في زمن بعيد قبل اختراع أجهزة التلفزيون الحديثة، والتي لم تكن موجودة آنذاك.,رمسيس الثاني كان يفضل القراءة بدلاً من مشاهدة التلفزيون، لذلك لم يكن يمتلك جهاز تلفزيون بلازما.,رمسيس الثاني كان لا يهتم بمباريات الرياضية وتحديثات الطقس، ولهذا لم يكن يمتلك جهاز تلفزيون بلازما.,0
حزب باراتيا جاناتا يُدار فعليًا من قبل مجموعة من الأفعى التي تستطيع التواصل بالعقل البشري.,الأفعى لا تستطيع العيش في المدن حيث توجد مقرات الحزب.,الأفعى لا تستهلك الطعام التقليدي الذي يقدمه أعضاء الحزب.,الفكرة بأن الأفعى تستطيع إدارة حزب سياسي تتعارض مع المعرفة العلمية والمنطقية حول قدرات الحيوانات.,2
يمكن للبشر التنفس تحت الماء مثل الأسماك بشرط أن يرتدوا قبعة سحرية.,البشر يمكنهم التنفس تحت الماء فقط إذا كانوا يرتدون نظارات سباحة مخصوصة.,البشر لا يمكنهم التنفس تحت الماء مثل الأسماك لأنهم يفتقرون إلى الخياشيم اللازمة لاستخراج الأكسجين من الماء.,البشر يمكنهم التنفس تحت الماء بشرط أن يستخدموا رئتين إضافيتين.,1
الأشجار تستطيع الطيران بعد غروب الشمس وتؤدي رقصة حول القمر.,يمكن للأشجار أن تطير فقط عندما تكون تحت تأثير سحر معين.,الأشجار كائنات ثابتة ولا تمتلك القدرة على الطيران.,الأشجار تحتاج إلى الضوء لتطير في السماء.,1
السيروتونين يمكنه جعل الإنسان يطير مثل الطيور إذا تم إفرازه بكميات كبيرة في الخلايا العصبية.,السيروتونين هو ناقل عصبي في الدماغ لا يمتلك القدرات البدنية لتوليد قوة رفع تجعل الإنسان يطير.,السيروتونين قد يغير لون البشرة عند إفرازه بكميات كبيرة في الخلايا العصبية.,السيروتونين يمكنه تحويل الإنسان إلى كائن مائي إذا تم إفرازه بكميات كبيرة.,0
هانس كريستيان أندرسن كان يستطيع التواصل مع الحيوانات عبر الشعر، ولذلك كتبت حيوانات الأدغال جميع قصصه.,الشعر ليس وسيلة للتواصل مع الحيوانات في الواقع، ولا توجد أي أدلة تثبت أن أندرسن كان يمتلك هذه القدرة,هانس كريستيان أندرسن كان أساساً كاتب مسرحي ولم يكتب حكايات خرافية,قصص هانس كريستيان أندرسن تم نقلها شفويًا من جيل إلى جيل فقط ولم يتم كتابتها قط,0
فيلم متروبوليس تم إنتاجه باستخدام حيوانات ناطقة وقدرتها على الطيران التي استخدمت في أدوار الشخصيات الرئيسية.,لأن الفيلم تمت ترجمته بشكل غير صحيح من النسخة الأصلية.,لأن الفيلم لم يكن يتناول أي موضوع متعلق بالحيوانات في المستقبل.,لأن الأفلام السينمائية الألمانية الصامتة لم تكن تستخدم حيوانات ناطقة أو طائرة في أدوار الشخصيات الرئيسية.,2
يمكن للقطارات السفر عبر الزمن والعودة إلى الماضي لجلب الركاب المفقودين.,يمكن للقطارات إنشاء جداول زمنية مرنة تتيح لها العودة إلى الماضي.,السفر عبر الزمن مفهوم علمي خيالي وغير ممكن عمليًا في الوقت الحالي.,يستطيع القطارات استعمال الأبواب الخاصة للدخول إلى أبعاد زمنية جديدة.,1
روثرفورد بيرتشارد هايز كان يُعرف بقدرته على التحدث إلى الحيوانات واستخدام قدراته في التواصل معهم لإدارة شؤون البلاد.,لا يوجد دليل تاريخي على أن روثرفورد بيرتشارد هايز كان لديه قدرة على التحدث إلى الحيوانات.,روثرفورد بيرتشارد هايز كان رئيس الولايات المتحدة خلال الحرب العالمية الثانية.,روثرفورد بيرتشارد هايز قام ببناء أكبر حديقة حيوانات في العالم خلال فترته الرئاسية.,0
جيمس كوك اكتشف قارة خيالية تحت المحيط الهادئ تحتوي على مدن كاملة مغمورة تحت الماء تعيش فيها المخلوقات الأسطورية.,القارات الخيالية تحت المحيطات تم اكتشافها فقط في القرن العشرين، ولذلك لم يكن بإمكان جيمس كوك اكتشافها في زمنه.,لا توجد أدلة أو سجلات تاريخية تثبت أن جيمس كوك اكتشف قارة خيالية تحت المحيط الهادئ أو أن هناك مخلوقات أسطورية تعيش تحت الماء.,جيمس كوك لم يكن ملاحاً ومستكشفاً إنجليزياً، بل كان عالم نباتات معروف.,1
الكركند يمكنه الطيران لمسافات طويلة باستخدام زعانفه الأمامية.,الكركند ليس لديه زعانف أمامية تمكنه من الطيران، فهو نوع من القشريات المائية التي تعيش في البحر ولا تملك أي قدرات طيران.,الكركند يمكنه الطيران لكن فقط لمسافات قصيرة بسبب وزنه الثقيل.,الكركند يمكنه الطيران لمسافات طويلة لكن فقط إذا تم تدريبه بشكل خاص.,0
حزقيا كان يستخدم جهاز كمبيوتر لمراقبة مملكته في العصر الحديدي.,حزقيا عاش في فترة ما قبل الميلاد حيث لم يكن مفهوم المراقبة موجوداً بعد.,استخدام جهاز كمبيوتر في العصر الحديدي غير ممكن لأن التكنولوجيا لم تكن موجودة في ذلك الوقت.,حزقيا لم يكن مهتماً بمراقبة مملكته، لذا لا يمكن أن يستخدم جهاز كمبيوتر لذلك.,1
زمار هاملين استخدم مزماره لتحويل الجرذان إلى فنانين عالميين في الرسم.,لا يمكن لمزمار أن يحوّل الجرذان إلى فنانين في الرسم؛ لأن هذه مهارة تتطلب عقلاً وإبداعاً بشرياً، وليس شيئاً يمكن تحقيقه بواسطة أداة موسيقية.,الجرذان ليست مهتمة بالفن لذلك لن يكون لديها رغبة في تعلم الرسم.,زمار هاملين كان مشغولاً جداً بقيادة الجرذان إلى النهر ولم يكن لديه وقت لتعليمهم الرسم.,0
جميع سكان الأمريكتين يستطيعون الطيران بدون الحاجة إلى طائرات.,هذا غير صحيح لأن الطيران بدون طائرات غير ممكن من الناحية البيولوجية والفيسيولوجية للبشر.,هذا غير صحيح لأن سكان الأمريكتين يعيشون في مناطق ذات طقس سيء يمنع الطيران.,هذا غير صحيح لأن سكان الأمريكتين يفضلون وسائل النقل الأرضية على الطيران.,0
في مَعْرَكة كاناي، استخدمَ حَنبعل جيشًا منَ البطاريق المدربة لطَهي وجبات الغذاء للرومان في وسط المعركة، مما أدى إلى ظَهور الرومان جائعين وتفرقهم بسهولة.,استخدام الجيش للرومان للطهي كان من اختصاص الطهاة وليس الجنود.,الرومان كانوا معروفين بأنهم لم يجبعوا أبداً بسبب تناولهم كميات كبيرة من الطعام باستمرار.,البطاريق كائنات تعيش في القارة القطبية الجنوبية ولا يمكن تدريبها على الطهي أو المشاركة في المعارك العسكرية.,2
دكتور في الطب (MD) تعطى فقط للأطباء الذين يمكنهم إجراء عمليات جراحية تحت الماء في المحيط الأطلسي.,لأن الأطلسي ليس محيطاً معترفاً به لإجراء العمليات الجراحية تحت الماء.,لأن دكتور في الطب (MD) تتطلب حصول الطبيب على شهادات إضافية في الطب البيطري.,لأنها ليست مهنة ترتبط بشكل مباشر بإجراء عمليات جراحية تحت الماء في المحيط الأطلسي.,2
يمكن للدخن أن ينمو على سطح القمر بسبب قدرته على تحمل الظروف القاسية.,القمر لا يحتوي على الغلاف الجوي والموارد اللازمة لدعم نمو النباتات مثل الماء والهواء الطلق.,القمر قريب جداً من الشمس، مما يجعله مكاناً غير مناسب لنمو النباتات.,تربة القمر خصبة جداً، ولكن لا توجد جراثيم كافية لدعم نمو النباتات.,0
داريوس الأول كان يمتلك جيشًا من البطاريق المجنحة التي كانت تساعده في التجسس على الأعداء.,البطاريق لا تستطيع الطيران ولا يمكنها أن تكون أداة تجسس.,داريوس الأول لم يكن بحاجة لمساعدة في التجسس لأنه كان يتحدث لغة الأعداء بطلاقة.,جيش داريوس الأول كان يتكون فقط من البشر ولم يكن يحتوي على أي حيوانات.,0
في ماريلند، الفراولة الزرقاء تنمو على الأشجار، وحكومة الولاية تشترط على جميع المواطنين ارتداء القبعات المزينة بالريش أثناء النهار.,حكومة ماريلند تحظر تماماً على المواطنين ارتداء القبعات لأي سبب كان.,الفراولة لا تكون زرقاء ولا تنمو على الأشجار، بالإضافة إلى أنه لا يوجد قانون يفرض على المواطنين ارتداء القبعات المزينة بالريش أثناء النهار.,ماريلند لا تنمو فيها أي نباتات على الإطلاق بسبب المناخ الجاف والمعادي للنباتات.,1
منتخب الإمارات العربية المتحدة لكرة القدم فاز بكأس العالم عام 1990 بفريق يتألف بالكامل من روبوتات مبرمجة.,تم حظر استخدام الروبوتات في الألعاب الرياضية منذ عام 1990.,منتخب الإمارات العربية المتحدة لكرة القدم لم يكن مؤهلاً للمشاركة في كأس العالم عام 1990.,عام 1990، لم تكن التكنولوجيا متقدمة بما يكفي لتطوير روبوتات قادرة على لعب كرة القدم كمحترفين.,2
الأفاتار في الهندوسية هو حيوان يستطيع الطيران في الفضاء ويفتح بوابات إلى عوالم موازية.,الأفاتار في الهندوسية لا يمكنه الطيران لأن الأديان الهندية لا تعترف بالسماء والفضاء.,الأفاتار في الهندوسية يرتبط بالكائنات البحرية فقط، ولا علاقة له بالحيوانات الطائرة.,هذا غير صحيح لأن الأفاتار في الهندوسية هو تجسد للإله وليس حيوان طائر أو مخلوق يفتح بوابات إلى عوالم موازية.,2
تستخدم وسائط التخزين ذات الحالة الثابتة (SSD) في تحضير الطعام وتقديم خدمات التدليك لأنها لا تحتوي على أقراص متحركة.,وسائط التخزين ذات الحالة الثابتة (SSD) يمكن استخدامها فقط في السيارات الكهربائية.,وسائط التخزين ذات الحالة الثابتة (SSD) يمكن استخدامها فقط في الفضاء الخارجي.,وسائط التخزين ذات الحالة الثابتة (SSD) لا علاقة لها بتحضير الطعام أو تقديم خدمات التدليك لأنها مصممة لتخزين البيانات الإلكترونية.,2
الفيلة يمكنها الطيران عندما تكون سعيدة.,الفيلة تطير فقط إذا كانت تتناول نوعاً معيناً من الطعام.,الفيلة لا تمتلك أجنحة أو بنية جسدية تسمح لها بالطيران.,الفيلة تميل للطيران فقط عند القمر الكامل.,1
تنجرين يطير في الهواء عندما يكون في موسم الذروة ويعقد مهرجانات رقص في السماء.,التنجرين يجب أن يكون أخضر اللون عندما يطير في الهواء.,التنجرين يمكن أن يعقد مهرجانات رقص فقط على الأرض وليس في السماء.,التنجرين هو نوع من الفاكهة وليس له القدرة على الطيران أو إقامة مهرجانات.,2
في عام 2020، انتقلت الصحراء الغربية بأكملها إلى المريخ، مما أدى إلى انقطاع العلاقات الدبلوماسية بين الدول المغاربية.,الصحراء الغربية هي منطقة على الأرض ولا يمكن أن تنتقل إلى كوكب آخر مثل المريخ.,الصحراء الغربية لا تحتوي على سفن فضائية لنقلها إلى المريخ.,الدول المغاربية لا تزال تتشارك في الموارد الطبيعية للصحراء الغربية.,0
هيش سو وي تستطيع اللعب في بطولة كرة المضرب وتجهيز وجبة تايوانية تقليدية في نفس الوقت دون أي مشكلة.,هيش سو وي غير مسموح لها بالطهي لأنها لاعبة محترفة وقد يؤثر ذلك على أدائها البدني.,من المستحيل أن يقوم شخص بمهمة متطلبة مثل لعب كرة المضرب وأخرى كإعداد وجبة تقليدية في نفس الوقت لأن كلا النشاطين يتطلبان الانتباه والتركيز الكامل.,القانون الرياضي يمنع اللاعبين من القيام بأي نشاط آخر أثناء اللعب في البطولات الكبيرة.,1
الأم تريزا كانت تتمكن من تحريك الأشياء عن بعد بواسطة قوة العقل فقط، وكانت تستخدم هذه القوة لإنقاذ الناس من الفيضانات والزلازل.,إدعاء تحريك الأشياء عن بعد بواسطة قوة العقل فقط هو من الخيال العلمي ولا يوجد دليل يثبت قدرة أي إنسان على ذلك، بما في ذلك الأم تريزا.,الأم تريزا أمضت حياتها في الهند ولم تواجه أي فيضانات أو زلازل.,الأم تريزا كانت نركز معظم وقتها على الفقراء والمرضى ولم تهتم كثيرا بالفيضانات والزلازل.,0
وارن بافيت لديه القدرة على تحويل الرمال إلى ذهب بلمسة واحدة، ولذلك أصبح خامس أغنى شخص في العالم.,القدرة على تحويل الرمال إلى ذهب هي مجرد خيال علمي وليس لها أساس في الواقع.,وارن بافيت يعمل في مجال العقارات وليس في مجال تحويل المواد.,وارن بافيت أصبح مليونيرًا بفضل وراثة ثروة كبيرة من عائلته.,0
بورصة ناسداك تُدير عملياتها من كوخ خشبي صغير في غابة الأمازون المطيرة، وتستخدم الطيور لنقل أوامر الشراء والبيع.,لأن بورصة ناسداك تُدار بالفعل من مكاتب متطورة وتقع في مدينة نيويورك، وقيمتها التكنولوجية لا تسمح بإدارة عملياتها من كوخ خشبي في غابة.,لأن بورصة ناسداك لا تتعامل في الأسهم والخيارات المالية بل هي بورصة للمواد الغذائية.,لأن بورصة ناسداك تستخدم الحمير لنقل أوامر الشراء والبيع وليس الطيور.,0
كانت السمكة الذهبية تتحدث الإغريقية القديمة وتُدرِّسها للبشر في القرن الثالث قبل الميلاد.,السمكة الذهبية ليست كبيرة بما يكفي لتعلم اللغات المعقدة مثل الإغريقية القديمة.,في القرن الثالث قبل الميلاد، لم تكن هناك مدارس لتعليم السمك اللغة الإغريقية القديمة.,السمكة الذهبية لا تستطيع التحدث بلغات البشر لأنها تفتقر إلى الأعضاء اللازمة للكلام والفهم اللغوي.,2
قنديل البحر يمكنه الغناء وأداء الرقصات في المسرحيات الموسيقية.,قنديل البحر يتجنب الضوء طوال حياته.,قنديل البحر ليس لديه جهاز صوتي أو عضلات مناسبة للغناء أو أداء حركات رقص.,قنديل البحر لا يمكنه العيش خارج الماء لفترة طويلة.,1
في كل مرة تلعب فيها بوكيمون، يتحدث البوكيمونات معك بشكل مباشر ويخبرونك أسرار الكون.,أسرار الكون لا يمكن الكشف عنها إلا من خلال نظريات علمية معقدة ولا يمكن لشخصيات خيالية في ألعاب الفيديو معرفتها.,لعبة البوكيمون هي لعبة فيديو ولا تدعم المحادثات المباشرة مع الشخصيات فيها، حيث أن البوكيمونات لا تتحدث كما في الواقع.,الشخصيات في لعبة بوكيمون تكون غير قادرة على إعطاء الغاز أو أسرار لأنها ليست ذكية بما فيه الكفاية.,1
عبد الرحمن الثالث شرب كوبًا من الحليب من القمر يوميًا للحفاظ على حكومته.,الحليب كان يصعب حفظه ونقله في تلك الفترة الزمنية.,عبد الرحمن الثالث كان يعيش في الأندلس في القرن التاسع والعاشر، ولم يكن هناك وسيلة للوصول إلى القمر أو إحضار الحليب منه.,عبد الرحمن الثالث فضل شرب القهوة بدلاً من الحليب.,1
ليباوسكي الكبير هو الفيلم الوحيد في العالم الذي يمكن مشاهدته فقط عند ارتداء قفازات بيضاء.,اشتهر فيلم ليباوسكي الكبير بسبب مواقع التصوير في الأدغال.,لم يتم عرض فيلم ليباوسكي الكبير في صالات السينما على الإطلاق.,لا يوجد شرط لارتداء قفازات بيضاء لمشاهدة أي فيلم في العالم.,2
كريستينا أبلغيت هي أول إنسان يستطيع الطيران بدون مساعدة، وغالبًا ما تستخدم هذه المهارة للوصول إلى مواقع تصوير الأفلام بسرعة عالية.,البشر لا يستطيعون الطيران بدون مساعدة، وهذه المهارة ليست ممكنة علمياً.,كريستينا أبلغيت ليست مشهورة بشكل كافٍ لتكون قادرة على الطيران.,استخدام الطيران للوصول إلى مواقع تصوير الأفلام هو أمر ممنوع بموجب قوانين الطيران الدولية.,0
يعتقد أن جوبيتر كان يمارس تقليدًا حيث كان يجري سباقات مع العقبان كل صباح ليثبت هيمنته عليهم.,جوبيتر لم يكن لديه أي طيور تنافسه في السيطرة لأنها كانت تعبد كآلهة أيضًا.,العقبان لم تظهر في الأساطير الرومانية القديمة بل فقط في الأساطير الإغريقية.,لا يوجد في الأساطير الرومانية أي تقليد يذكر قيام جوبيتر بممارسة سباقات مع العقبان لإثبات هيمنته.,2
الموجة الكبيرة في كاناغاوا هي لوحة رسمها حيوان باندا متطور في عام 1832 بمساعدة روبوتات من المستقبل.,البيان غير منطقي لأن اللوحات اليابانية لا يمكن رسمها إلا من قبل فنانين يابانيين.,البيان غير منطقي لأن الحيوانات، بما في ذلك الباندا، ليس لديها القدرة على رسم لوحات فنّية.,البيان غير منطقي لأن الروبوتات لم تُخترع حتى القرن العشرين.,1
عناكب الجمل تستطيع قراءة الكتب وتحب الاستماع للموسيقى الكلاسيكية أثناء تناول فريستها.,عناكب الجمل لا تستطيع العيش في المناطق الصحراوية ومن ثم فهي غير قادرة على قراءة الكتب.,عناكب الجمل لا تمتلك قدرات عقلية تمكنها من قراءة الكتب أو تذوق الموسيقى.,عناكب الجمل لا تستطيع تناول فرائسها لأنها تعتمد فقط على النباتات للتغذية.,1
فطر عرف الأسد يمكنه الطيران لمسافات طويلة للهروب من الحيوانات المفترسة.,فطر عرف الأسد لا ينتشر خارج أستراليا ولا يوجد في البيئات الأخرى.,الهروب من الحيوانات المفترسة يتم فقط عن طريق تواجد الحيوانات السريعة على الأرض وليس الفطريات.,الفطر كائن غير حيواني ولا يمتلك القدرة على الطيران فهو يعتمد على الانتشار بواسطة الأبواغ.,2
زَها حديد كانت تعيش على كوكب زحل وتستخدم معادن فضائية في تصاميمها الهندسية.,زَها حديد ولدت وعاشت على كوكب الأرض، وليس من الممكن أن يكون شخص ما يعيش على كوكب زحل لأن الظروف هناك لا تدعم الحياة.,زَها حديد لم تستخدم أي نوع من المعادن في تصاميمها الهندسية.,ليس هناك شيء يسمى بمعادن فضائية في محطة الفضاء الدولية.,0
الحديث النبوي يحتوي على تعليمات حول كيفية تربية الديناصورات في الحدائق الخلفية للمنازل.,لا توجد تعليمات في الحديث النبوي تتعلق بتربية الحيوانات بأي شكل من الأشكال.,الديناصورات انقرضت ملايين السنين قبل ظهور الإسلام والحديث النبوي، لذلك من المستحيل أن يكون هناك تعليمات حولها.,الحديث النبوي يشتمل فقط على تعليمات حول الحياة اليومية ولا يشمل الحيوانات القديمة.,1
ديفيد لينش ليس فقط مخرج أفلام، بل يستطيع التواصل مع الكائنات الفضائية ويستخدم طاقتهم السحرية لصنع أفلامه.,لا يوجد دليل علمي أو تاريخي يثبت أن ديفيد لينش يستطيع التواصل مع الكائنات الفضائية أو يستخدم طاقة سحرية في أعماله السينمائية.,ديفيد لينش يفضل العمل مع الممثلين الحقيقيين بدلاً من الكائنات الفضائية في أفلامه.,ديفيد لينش يستخدم تقنيات تصوير متقدمة بدلاً من الطاقة السحرية في صنع أفلامه.,0
الشمس تنام تحت سطح البحر كل ليلة لتستعيد طاقتها.,لأن البحر يتجمد ليلاً ولا يوجد مكان لتنام فيه الشمس.,لأن الشمس هي نجم وليس كائن حي، لذا لا تحتاج إلى النوم لاستعادة طاقتها.,لأن الشمس لا تستطيع السباحة في البحر.,1
هرب هيرقليس إلى الفضاء وأصبح أول كائن فضائي يلعب كرة القدم مع المريخيين في عطلة نهاية الأسبوع.,هيرقليس كان مشغولاً بحروبه مع الوحوش في الأرض ولم يكن لديه وقت للذهاب إلى الفضاء.,هيرقليس لم يكن يحب الرياضة لذا لم يكن ليهتم بلعب كرة القدم حتى على الأرض.,هيرقليس هو شخصية أسطورية من الميثولوجيا الإغريقية ولا يوجد في الأساطير دليل على هروبه إلى الفضاء أو لعبه لكرة القدم.,2
جوزيف جيفرسون جاكسون اخترع آلة زمن وسافر إلى المستقبل للعب البيسبول مع روبوتات.,جوزيف جيفرسون جاكسون لم يكن يميل إلى التقنيات والآلات، لذلك من غير الممكن أن يخترع آلة زمن.,جوزيف جيفرسون جاكسون كان لاعب بيسبول عاش في أوائل القرن العشرين ولم يخترع آلة زمن، وهو أمر مستحيل في تلك الفترة.,جوزيف جيفرسون جاكسون كان معروفاً بعدم ارتدائه الأحذية وهذا قد يجعله غير قادر على اختراع آلة من هذا النوع.,1
يُعتقد أن غاندي كان لديه قدرة خارقة على التحدث إلى الحيوانات، وقد استخدم هذه القدرة للتفاوض مع الأفيال الجامحة لإخلاء الطرق خلال مسيراته الاحتجاجية.,لم ترد أي تقارير تاريخية أو أدلة موثوقة تشير إلى أن غاندي كان يمتلك قدرة خارقة على التحدث إلى الحيوانات.,تحدث غاندي إلى الحيوانات فقط في وقت متأخر من حياته، بعد الاستقلال الهندي.,كان غاندي يستخدم طاقة روحية غير مرئية للتواصل مع الحيوانات البريّة وليس التحدث إليهم.,0
كاترين الثانية كانت تتحكم في الطقس وتغير الفصول حسب رغبتها لتحسين المحاصيل الزراعية في إمبراطوريتها.,كاترين الثانية كانت تعيش في منطقة لا يتغير فيها الطقس أو الفصول.,لا يمكن لأي شخص أن يتحكم في الطقس أو يغير الفصول حسب رغبته؛ لأن هذه قوى طبيعية خارج نطاق قدرات الإنسان.,كاترين الثانية كانت ليست مهتمة بالمحاصيل الزراعية ولم تعتني بها كثيراً.,1
في اليابان، يستطيع الأطفال حديثو الولادة التحدث عدة لغات منذ اللحظة الأولى.,في اليابان، يعتبر تعليم اللغات للأطفال غير مهم خلال السنوات الأولى من حياتهم.,الأطفال حديثو الولادة لا يمتلكون القدرات العصبية والمعرفية للتحدث بأي لغة عند ولادتهم.,الأطفال حديثو الولادة في اليابان يتعلمون اللغة اليابانية فقط، وليس عدة لغات.,1
سيدني بواتييه كان قادرًا على التحول إلى دلفين في الماء واستخدم هذه المهارة للهروب من الأضواء بعد انتهاء حفلات الأوسكار.,لا يمكن للبشر التحول إلى دلافين لأن ذلك يتناقض مع قوانين الطبيعة والبيولوجيا.,سيدني بواتييه لم يعجبه الماء وبالتالي لم يكن يرغب في التحول إلى دلفين.,حفلات الأوسكار لا تُقام بالقرب من المحيطات، لذلك لم يكن هناك سبب لكي يتحول إلى دلفين.,0
خلال الحرب الأهلية الصينية، كان الجنود يتواصلون عبر إرسال الحمام الزاجل المغناطيسي الذي يمكنه الطيران بسرعة الضوء.,الحرب الأهلية الصينية لم تحصل في فترة كان فيها استخدام الحمام الزاجل شائعاً.,الجنود لم يكونوا بحاجة للتواصل لأنهم كانوا يعيشون في نفس المنطقة.,من المعروف أن الحمام الزاجل غير قادر على الطيران بسرعة الضوء لأنه غير ممكن بيولوجياً وفيسيائياً.,2
ملعب روز بول في كاليفورنيا يمكنه السفر في الزمن والانتقال إلى أي فترة تاريخية يختارها.,لا يمكن للأماكن الفيزيائية مثل الملاعب السفر عبر الزمن لأنها تخضع لقوانين الفيزياء في الكون.,ملعب روز بول في كاليفورنيا قد يكون قادراً على السفر عبر الزمن لكن يحتاج إلى تقنية متغيرة للأبعاد.,ملعب روز بول في كاليفورنيا يمكنه السفر فقط خلال الأحداث الرياضية الكبرى وليس لأي فترة تاريخية.,0
خلال الحرب الباردة، كانت الولايات المتحدة والاتحاد السوفيتي يتفقان على تنظيم حفلات موسيقية تحت الماء لجغرافيا المحيط الهادئ.,هذا لا معنى له لأن التكنولوجيا في ذلك الوقت لم تكن متطورة بما يكفي لتنظيم حفلات موسيقية تحت الماء.,هذا لا معنى له لأن جغرافيا المحيط الهادئ ليست مناسبة لتنظيم أي نوع من الأحداث بسبب التيارات القوية.,هذا لا معنى له لأن كلا البلدين كانا في حالة تنافس شديد في مجالات مختلفة، ولا علاقة لهذه التغيرات السياسية بتنظيم حفلات موسيقية تحت الماء.,2
يعتقد البعض أن التعديل الثاني لدستور الولايات المتحدة يمنح الحق للمواطنين بامتلاك أسلحة ليزر فضائية للدفاع عن أنفسهم.,التعديل الثاني ينص فقط على حماية حق المواطنين في حمل السيوف والرماح للدفاع عن أنفسهم.,التعديل الثاني تمت كتابته في القرن الثامن عشر، ولا يتحدث عن أسلحة الليزر الفضائية التي لم تكن موجودة في ذلك الوقت.,التعديل الثاني لدستور الولايات المتحدة يمنع حمل الأسلحة تمامًا ولا يذكر أي شيء عن حقوق المواطنين في الاحتفاظ بها.,1
نادي رينجرز لكرة القدم تأسس في المريخ ويلعب مبارياته هناك إلى جانب فرق فضائية أخرى.,نادي رينجرز لا يلعب مع فرق فضائية لأنه تم حل الدوري الفضائي.,المريخ لا يمتلك ملاعب كرة قدم بمواصفات الدوري الاسكتلندي الممتاز.,المريخ ليس مكانًا صالحًا للحياة البشرية ولم يُكتب فيه تاريخ أندية كرة القدم.,2
في القرن 16م، تم اكتشاف مدينة تامبا على يد مستكشفين إسبانيين وظلت المستوطنات الأوروبية تستخدمها كموقع لإجراء تجارب السفر عبر الزمن.,استخدام الموقع لإجراء تجارب السفر عبر الزمن مرتبط بفترة الاستعمار الإنجليزي لتامبا وليس المستعمرين الإسبان.,مدينة تامبا لم تكن معروفة بأي شكل في القرن السادس عشر ولم تكن محط اهتمام لأي نوع من التجارب.,تقنيات السفر عبر الزمن لم تكن موجودة في القرن السادس عشر وبالتالي لم يكن بالإمكان اجراء تجارب من هذا النوع.,2
يمكن للخادوم إرسال إشارات إلى الفضاء الخارجي للتواصل مع كائنات فضائية موزعة المعلومات بين عدة كواكب.,الخواديم تحتاج إلى مصدر طاقة كهربائي لا يمكن العثور عليه في الفضاء الخارجي.,الخواديم لا يمكن أن تعمل في الوسط الفضائي بسبب افتقارها للأكسجين للتنفس.,الخواديم ليست مصممة لإرسال إشارات إلى الفضاء الخارجي بل هي مخصصة لإدارة وتخزين البيانات ضمن بيئة الأرض.,2
في بالتيمور، يمكن مشاهدة البطاريق وهي تطير حول ملعب بنك إم تي لفريق بالتيمور ريفنز.,البطاريق لا تطير، فهي تستخدم أجنحتها للسباحة بدلاً من الطيران.,ملعب بنك إم تي مخصص فقط للأحداث الرياضية لذلك لا يُسمح بأي نوع من الطيور فيه.,في بالتيمور، لا توجد بطاريق تعيش في البرية، وتقع البطاريق في القطب الجنوبي فقط.,0
في مجرة أندروميدا، الأحذية تحل محل الطائرات كوسيلة النقل الأساسية.,الأحذية لا يمكنها الطيران في الفضاء.,الأحذية لا يمكن أن تكون وسيلة نقل أساسية لأنها لا تملك القدرة على السفر للمسافات الطويلة مثل الطائرات.,الطائرات لا تحتاج إلى أحذية لتعمل.,1
مهاتير بن محمد كان لديه قدرة على التحدث إلى الحيوانات والتي ساعدته في اتخاذ القرارات السياسية.,مهاتير بن محمد لم يكن يحب الحيوانات، لذلك من غير الممكن أن يكون له أي تفاعلات معها.,مهاتير بن محمد لم يعش في ماليزيا لفترة كافية لتطوير مهارات التحدث إلى الحيوانات.,ليس هناك أي دليل علمي أو تاريخي يشير إلى أن مهاتير بن محمد كان قادرًا على التحدث إلى الحيوانات.,2
ماركوس فيبسانيوس أغريبا اخترع طائرة الورق التي تعمل بالطاقة الشمسية والتي تستخدم لتحضير القهوة الطائرة.,ماركوس فيبسانيوس أغريبا اخترع القهوة وليس طائرة الورق,ماركوس فيبسانيوس أغريبا عاش في العصر الروماني القديم الذي لم يكن يعرف تكنولوجيا الطائرات الورقية ولا الطاقة الشمسية,ماركوس فيبسانيوس أغريبا كان مشغولا ببناء القلاع والرسم على الجدران,1
يوجد في مركز كل مجرة غابة من الأشجار ضخمة الحجم التي تنمو في الفضاء بين النجوم.,الأشجار لا تستطيع النمو في الفضاء لأنها تحتاج إلى الهواء والماء والتربة والضوء التي لا توفرها الظروف الفضائية.,الأشجار لا يمكنها النمو في الفضاء لأن النجوم تمنع ذلك بفضل جاذبيتها العالية.,الأشجار لا تستطيع النمو في الفضاء لأن الغلاف الجوي للمجرة سلم من السموم.,0
